y,age_log,balance_p,balance_m
1.0,-0.06228930447438336,0.6743889126390239,
1.0,0.9914905719507466,0.5590445836385732,
1.0,-0.3767086779864628,-0.1441566428961251,
1.0,1.821543362259022,-0.09505801868791645,
1.0,-0.9640910327549231,-0.26656984798418837,
1.0,-1.2260644316816154,-0.44789661822770194,
1.0,-0.26908153056115425,-1.3935211400144139,
1.0,-0.8393775376216905,-0.5199315574464268,
1.0,-0.9640910327549231,,
1.0,-0.8393775376216905,0.6938056464745194,
1.0,-0.4873679715635964,-0.2682319411728186,
1.0,-0.6012352237874928,0.5622929653771805,
1.0,-0.6012352237874928,0.06742547690801104,
1.0,-0.9640910327549231,0.2704670613373523,
1.0,-0.1643247852691563,1.3803420677195577,
1.0,2.2911340653498793,-0.22030732680645557,
1.0,1.75869169908633,-0.0002522463831844752,
1.0,2.0042807358040573,-0.755613373494437,
1.0,0.5861679153793732,-0.2421866997497688,
0.0,-1.2260644316816154,-1.0777763294628027,
0.0,-1.3639082292174587,-0.9427207200243328,
0.0,2.0633517007593514,0.14068846628871118,
1.0,0.22881756652078256,-2.900555981693038,
0.0,-0.718501996037194,-0.16612367055396213,
0.0,-0.06228930447438336,-0.7405471749173739,
0.0,1.428401010469085,-1.2534428503878872,
0.0,0.32124877567372906,,
0.0,0.5861679153793732,0.32749396356955174,
0.0,-0.9640910327549231,,-0.524944588720676
0.0,-0.3767086779864628,-0.03613598651865973,
0.0,-0.718501996037194,,
1.0,1.0677676316286302,0.8140006113162706,
0.0,-1.09289421607084,0.21246800469908417,
0.0,0.1341588862876522,,-2.6832729928931207
1.0,-1.2260644316816154,,0.7708898702645725
0.0,1.358874502623796,-0.6940904995014184,
0.0,0.7533482581165507,0.8079009674309031,
0.0,-1.09289421607084,0.04441896649788468,
0.0,1.6298885157704113,0.5462846873729804,
0.0,-0.8393775376216905,0.5142169139127809,
0.0,-0.9640910327549231,,
0.0,-1.2260644316816154,-1.371346827277566,
0.0,-0.718501996037194,0.41330130186632164,
0.0,-0.9640910327549231,0.12640850342177662,
0.0,-0.06228930447438336,0.20804477514854075,
0.0,-2.1366148164618797,,-0.41055638843179243
0.0,0.9914905719507466,-0.9695541296307028,
0.0,-0.06228930447438336,,-0.10222854420085632
0.0,0.037162720032171775,0.36718469037152107,
0.0,2.1788937111176145,0.22193894027472785,
0.0,-0.8393775376216905,0.7558072776781748,
0.0,-1.09289421607084,-0.5048006899407458,
0.0,1.358874502623796,,
0.0,-0.8393775376216905,0.8438344804333094,
1.0,0.8343438110280261,0.6986414725414364,
0.0,0.4998315796673995,0.9512499190637905,
0.0,0.4998315796673995,-1.3293611451205003,
0.0,1.2880951977196817,,1.025490434722197
0.0,2.6098069803113044,0.9027220549130098,
0.0,-1.09289421607084,,
0.0,1.358874502623796,1.168718634810767,
0.0,1.2160171177517785,-0.06368241633290216,
0.0,-0.8393775376216905,1.3128092121582329,
0.0,0.32124877567372906,-1.4284353439930235,
0.0,0.7533482581165507,0.6925093424729807,
0.0,0.913702977686034,-1.0777763294628027,
0.0,0.913702977686034,0.08319334087165418,
0.0,-0.4873679715635964,,0.1412908080555158
0.0,-0.06228930447438336,0.15056348109838735,
0.0,-0.3767086779864628,0.1784524237103728,
0.0,-1.09289421607084,-1.8728143935060386,
0.0,0.32124877567372906,,0.7737947020342679
0.0,-0.26908153056115425,-0.027233550291627297,
0.0,1.1425917062170239,-0.6020486238467149,
0.0,0.4998315796673995,2.0950159590289092,
0.0,-1.09289421607084,-0.19921353912435877,
0.0,1.1425917062170239,,0.07535227290285346
0.0,0.4998315796673995,,0.7502199335440929
1.0,0.9914905719507466,0.9939410120317747,
0.0,-0.4873679715635964,,0.33623451618202066
0.0,1.1425917062170239,0.7534722540371308,
0.0,-0.718501996037194,,0.2922365214128419
0.0,0.8343438110280261,,-1.6041087908068985
0.0,-0.3767086779864628,,
0.0,0.1341588862876522,0.6074813951097261,
0.0,-0.3767086779864628,,-0.6399892323006166
0.0,-0.6012352237874928,0.4853964459745568,
0.0,-0.26908153056115425,,0.28939496337369375
0.0,0.6706474109978496,,
0.0,1.2160171177517785,,
0.0,0.5861679153793732,0.8582019222527901,
0.0,-0.3767086779864628,1.655334159858112,
0.0,0.6706474109978496,0.5340918083463793,
0.0,-0.6012352237874928,0.6882764928246767,
1.0,-0.1643247852691563,-0.21724716598062432,
0.0,-0.4873679715635964,-0.09381976838690889,
0.0,-0.1643247852691563,0.0365454878682231,
0.0,0.22881756652078256,0.12810662469157783,
1.0,-1.2260644316816154,0.938582172526439,
0.0,1.358874502623796,-0.502316332960816,
0.0,0.5861679153793732,-1.155290298057856,
0.0,-0.6012352237874928,,
0.0,1.358874502623796,-2.493297667420139,
0.0,1.6298885157704113,-0.214202860981498,
0.0,-1.809079754155219,-0.8688726657191786,
1.0,-1.2260644316816154,0.9970405222879521,
0.0,-0.26908153056115425,,1.201142044695815
0.0,-0.718501996037194,0.042460466183249376,
0.0,-0.4873679715635964,-0.2599680981883679,
0.0,0.5861679153793732,0.8569770947290484,
0.0,-0.4873679715635964,-0.12820409147853376,
0.0,-0.6012352237874928,0.4190132735467421,
0.0,-0.9640910327549231,,0.22696495583372614
0.0,-0.06228930447438336,-1.371346827277566,
0.0,-0.8393775376216905,,
0.0,-0.26908153056115425,0.9072416891251263,
0.0,0.1341588862876522,,0.11636300426302769
0.0,-0.06228930447438336,,-0.6718830370934402
0.0,-1.3639082292174587,0.46901606668149726,
0.0,-0.6012352237874928,-0.15503750108490377,
1.0,-0.6012352237874928,0.9749925251445586,
0.0,-0.8393775376216905,-0.2989828305172355,
0.0,2.2354147602776586,0.4680661076219098,
0.0,-1.09289421607084,1.1700154951664057,
0.0,1.0677676316286302,0.5298280047987091,
0.0,0.9914905719507466,0.007085666749694062,
0.0,0.1341588862876522,0.06270617803885095,
0.0,-0.06228930447438336,-0.677157063798646,
0.0,0.4115549400658178,0.8914997578107141,
0.0,1.496718300159636,0.9070165312184193,
0.0,-0.6012352237874928,-0.8373490380310482,
0.0,-0.1643247852691563,0.16666173606300227,
0.0,-1.09289421607084,-0.14957188445886743,
0.0,0.7533482581165507,0.3952866493379503,
0.0,1.496718300159636,0.6882764928246767,
0.0,-0.6012352237874928,-3.307814295965938,
0.0,-0.9640910327549231,,0.16538154717319334
0.0,-0.26908153056115425,,
0.0,1.428401010469085,0.13233057926309016,
1.0,-1.3639082292174587,0.8458372077251324,
0.0,-0.8393775376216905,-0.013048749655211916,
0.0,-0.8393775376216905,,0.9877741187745608
0.0,-0.06228930447438336,0.8473347859794779,
1.0,0.1341588862876522,1.7528853407427833,
0.0,0.6706474109978496,0.05507555714660544,
0.0,-1.3639082292174587,,
0.0,-1.655015100212623,,
0.0,1.6298885157704113,-0.7186483836628842,
0.0,0.8343438110280261,,
